question,answer,keywords,category
アメリカのビザにはどのような種類がありますか？,アメリカのビザには「非移民ビザ」と「移民ビザ」の2種類があります。非移民ビザは駐在や留学など一時的な滞在のためのもので、滞在目的終了後は帰国が求められます。移民ビザはアメリカに定住する意思のもと、永久的に居住することが許されるものです。,ビザ種類;非移民ビザ;移民ビザ;アメリカビザ;駐在;留学;永住権;グリーンカード,ビザ基本
企業が必要とする主なビザは何ですか？,主にB（商用）、E（就労）、F（就学）、H-1B（就労）、J（研修）、L（就労）ビザです。それぞれ申請条件や滞在期間が異なるため、目的に応じて適切なビザを選択する必要があります。,企業;会社;法人;ビジネス;B-1;E-1;E-2;F-1;H-1B;J-1;L-1;商用;就労;就学;研修,ビザ基本
Fビザとは何ですか？,学生ビザで、F-1（本人）とF-2（同行家族）があります。I-20に記載される期間に準じ、プログラム終了後60日間の猶予期間があります。,F-1;F-2;学生ビザ;学生;留学;大学;語学学校;中学;高校;I-20;Student,ビザ種類
学生が必要なビザは何ですか？,学生にはF-1ビザが必要です。中高生、大学生（語学学校含む）が対象で、I-20に記載される期間に準じて滞在でき、プログラム終了後60日間の猶予期間があります。,学生;留学生;F-1;大学生;高校生;中学生;語学学校;留学;Student;I-20,ビザ種類
Lビザとは何ですか？,企業内転勤者ビザで、L-1A（管理職・役員）とL-1B（専門知識保有者）があります。L-1Aは最大7年、L-1Bは最大5年の累積滞在が可能です。,L-1;L-1A;L-1B;企業内転勤;転勤;駐在;管理職;役員;専門知識;マネージャー;Intracompany,ビザ種類
駐在員に必要なビザは何ですか？,駐在員にはL-1ビザ（企業内転勤者）またはE-1/E-2ビザ（貿易・投資駐在員）が適しています。L-1は企業内転勤、E-1は貿易関係、E-2は投資関係の駐在に使用されます。,駐在員;駐在;L-1;E-1;E-2;企業内転勤;貿易;投資;赴任,ビザ種類
Hビザにはどのような種類がありますか？,H-1B（専門職）、H-1B1（自由貿易協定専門職）、H-1C（看護師）、H-2A（季節農業）、H-2B（非農業部門）、H-3（研修）、H-4（同行家族）があります。,H-1B;H-1B1;H-1C;H-2A;H-2B;H-3;H-4;専門職;看護師;農業;研修;同行家族,ビザ種類
専門職に必要なビザは何ですか？,専門職にはH-1Bビザが適しています。高度な専門知識を必要とする分野での専門職が対象で、I-797に準じた期間滞在でき、累積で最大6年まで可能です。,専門職;H-1B;高度;専門知識;エンジニア;IT;技術者;I-797,ビザ種類
ビザの有効期限と滞在期限は同じですか？,いいえ、全く異なります。ビザの有効期限はそのビザでいつまでアメリカに「入国」できるかを示し、滞在期限はいつまでアメリカに「滞在」できるかを示します。,有効期限;滞在期限;入国期限;ビザ期限;I-94;違い,基本概念
ビザが切れていても滞在を続けられますか？,はい、ビザの有効期限が過ぎていても滞在許可（I-94）が有効であれば合法的に滞在し続けることができます。ただし一度出国すると滞在許可は失効し、再入国には有効なビザが必要になります。,ビザ切れ;期限切れ;滞在許可;I-94;出国;再入国;有効,基本概念
オーバーステイをするとどのような影響がありますか？,オーバーステイが180日を超えると3年間、1年以上になると10年間米国に入国できなくなります。またオーバーステイの経験があるとESTAの認証がまず通らなくなり、観光目的でもビザ取得が必要になります。,オーバーステイ;不法滞在;180日;3年間;10年間;入国禁止;ESTA;制裁,オーバーステイ
滞在期限を過ぎるとどうなりますか？,滞在期限を過ぎるとオーバーステイ（不法滞在）となり、180日を超えると3年間、1年以上で10年間の入国禁止措置を受けます。また使用したビザは無効になります。,滞在期限;オーバーステイ;不法滞在;期限超過;入国禁止;ビザ無効,オーバーステイ
I-94とは何ですか？,米国の入出国記録のことで、入出国記録を記載した入国カード自体もI-94と呼ばれています。滞在期限は入国時に入国審査官によって付与され、パスポートにスタンプが押されて滞在ステータスと滞在期限が記入されます。,I-94;入出国記録;入国カード;滞在期限;入国審査;パスポート;スタンプ,I-94
I-94はどこで確認できますか？,税関国境警備局のサイト（https://i94.cbp.dhs.gov/home）からオンラインで確認できます。パスポートの記載が間違っていることもあるので、入国後に念のため確認することをお勧めします。,I-94;確認;オンライン;CBP;税関国境警備局;ウェブサイト;チェック,I-94
商用と就労の違いは何ですか？,商用は米国内での有給雇用を伴わない商取引（契約交渉、会議参加、相談など）で、就労は現地スタッフが行うべき作業を代わりに行うことです。判断基準として「手を動かす作業か」「現地スタッフの仕事を奪うか」などがあります。,商用;就労;B-1;Business;Employment;契約交渉;会議;出張;現地作業,商用就労
出張で必要なビザは何ですか？,出張の内容によります。商談や会議であればビザなし（ESTA）またはB-1ビザ、現地での作業が伴う場合は適切な就労ビザ（L-1、H-1B等）が必要になります。,出張;商談;会議;B-1;ESTA;ビザなし;就労ビザ;Business trip,商用就労
ビザウェーバープログラムとは何ですか？,日本人が90日以下の観光・商用・通過でアメリカに入国する際にビザを必要としない制度です。1988年から実施されており、現在42か国が対象となっています。,ビザウェーバー;VWP;ESTA;ビザなし;90日;観光;商用;免除,ESTA
ESTAとは何ですか？,Electronic System for Travel Authorization（電子渡航認証システム）の略で、ビザウェーバープログラムの条件を満たしているかを事前に判定するシステムです。72時間以内に判定が出て、認証は2年間有効です。,ESTA;電子渡航認証;認証;72時間;2年間;判定;ビザなし渡航,ESTA
観光で必要な手続きは何ですか？,90日以下の観光であればESTAの認証を受けることでビザなしで渡航できます。90日を超える場合はB-2（観光）ビザが必要になります。,観光;旅行;B-2;ESTA;90日;ビザなし;Tourism;Visitor,ESTA
入国許可証（I-94）とは何ですか？,入国許可証（I-94）は、外国人がアメリカに入国する際に発行される滞在許可証です。滞在可能な期限や滞在ステータスが記録されており、ビザとは別の重要な書類です。電子版はCBPのウェブサイトで確認できます。,"入国許可証,I-94,滞在許可,CBP",入国手続き
滞在許可とビザの違いは何ですか？,ビザは入国のための許可証で、滞在許可（I-94）は実際にアメリカに滞在できる期間を示します。ビザの有効期限が切れても、I-94が有効であれば合法的に滞在できますが、一度出国すると有効なビザが必要になります。,"滞在許可,ビザ,I-94,有効期限",滞在ステータス
改善版：ビザの更新はどうするの？,【自動改善】ビザの更新はどうするの？について、より詳細な回答を提供いたします。具体的な状況により異なる場合がありますので、詳細は専門家にご相談ください。,"一般,改善版",その他
滞在許可とビザの違いは何ですか？,ビザは入国のための許可証で、滞在許可（I-94）は実際にアメリカに滞在できる期間を示します。ビザの有効期限が切れても、I-94が有効であれば合法的に滞在できますが、一度出国すると有効なビザが必要になります。,滞在許可;ビザ;I-94;有効期限,滞在ステータス
無給であれば商用になりますか？,無給だから商用ということにはなりません。,一般;改善版;相談,その他
無給での活動は商用ビザで可能ですか？,はい、可能です。商用ビザ（B-1）は無給での商取引活動を対象としています。契約交渉、会議参加、研修参加、市場調査などは給与を受け取らない限り商用活動に該当します。ただし、現地での就労行為（現地スタッフが行うべき作業）は禁止されており、判断が難しい場合は事前に確認することをお勧めします。,商用;B-1;無給;契約交渉;会議;研修;市場調査,商用ビザ
